"Diet","BATCH","Essi_number","Bloomington_number","DGRP_number","n_pup","n_eclo","n_total"
"HP",2,1,28122,"DGRP-21",30,29,30
"HP",2,2,28123,"DGRP-26",28,25,30
"HP",21,3,28124,"DGRP-28",28,25,30
"HP",2,4,55014,"DGRP-31",23,20,30
"HP",2,5,55015,"DGRP-32",27,20,30
"HP",2,6,28125,"DGRP-38",16,14,30
"HP",2,7,29651,"DGRP-40",29,27,30
"HP",2,8,28126,"DGRP-41",26,19,30
"HP",21,9,28127,"DGRP-42",14,11,30
"HP",9,10,28128,"DGRP-45",28,27,30
"HP",1,11,55016,"DGRP-48",21,16,30
"HP",1,12,29652,"DGRP-57",28,23,30
"HP",2,13,28129,"DGRP-59",29,29,30
"HP",19,14,28130,"DGRP-69",21,17,30
"HP",9,15,28131,"DGRP-73",28,24,30
"HP",20,16,28132,"DGRP-75",30,29,30
"HP",1,17,28134,"DGRP-83",30,27,30
"HP",9,18,28274,"DGRP-85",19,17,30
"HP",14,19,28135,"DGRP-88",20,6,30
"HP",1,20,28136,"DGRP-91",22,20,30
"HP",5,21,28137,"DGRP-93",24,23,30
"HP",1,22,55017,"DGRP-100",25,20,30
"HP",1,23,28138,"DGRP-101",15,13,30
"HP",9,24,28139,"DGRP-105",28,26,30
"HP",2,25,28140,"DGRP-109",18,17,30
"HP",1,26,28141,"DGRP-129",26,24,30
"HP",1,27,28142,"DGRP-136",15,15,30
"HP",10,28,28143,"DGRP-138",29,23,30
"HP",1,29,28144,"DGRP-142",23,16,30
"HP",3,30,28145,"DGRP-149",28,26,30
"HP",3,31,28146,"DGRP-153",24,19,30
"HP",20,32,28147,"DGRP-158",29,26,30
"HP",9,33,28148,"DGRP-161",26,22,30
"HP",3,34,28149,"DGRP-176",27,20,30
"HP",14,35,28150,"DGRP-177",28,25,30
"HP",3,36,28151,"DGRP-181",26,19,30
"HP",3,37,28152,"DGRP-189",28,24,30
"HP",3,38,28153,"DGRP-195",29,28,30
"HP",3,39,25174,"DGRP-208",30,30,30
"HP",3,40,28154,"DGRP-217",30,28,30
"HP",10,41,28155,"DGRP-223",30,27,30
"HP",20,42,28156,"DGRP-227",15,1,30
"HP",20,43,28157,"DGRP-228",29,26,30
"HP",5,44,29653,"DGRP-229",27,9,30
"HP",10,45,28275,"DGRP-235",30,0,30
"HP",5,46,28160,"DGRP-237",25,20,30
"HP",2,47,28161,"DGRP-239",28,25,30
"HP",14,48,28162,"DGRP-256",22,19,30
"HP",11,49,28164,"DGRP-280",30,29,30
"HP",20,50,28165,"DGRP-287",27,26,30
"HP",10,51,25175,"DGRP-301",16,9,30
"HP",10,52,25176,"DGRP-303",28,27,30
"HP",16,53,25177,"DGRP-304",26,25,30
"HP",5,54,37525,"DGRP-306",29,29,30
"HP",5,55,25179,"DGRP-307",22,18,30
"HP",5,56,28166,"DGRP-309",20,19,30
"HP",21,57,28276,"DGRP-310",15,14,30
